1/269: Actual=1, Pred=1, OK=True
2/269: Actual=1, Pred=1, OK=True
3/269: Actual=1, Pred=1, OK=True
4/269: Actual=1, Pred=1, OK=True
5/269: Actual=1, Pred=1, OK=True
6/269: Actual=1, Pred=1, OK=True
7/269: Actual=1, Pred=1, OK=True
8/269: Actual=1, Pred=1, OK=True
9/269: Actual=2, Pred=1, OK=False
10/269: Actual=2, Pred=1, OK=False
11/269: Actual=1, Pred=1, OK=True
12/269: Actual=1, Pred=1, OK=True
13/269: Actual=1, Pred=1, OK=True
14/269: Actual=1, Pred=1, OK=True
15/269: Actual=2, Pred=1, OK=False
16/269: Actual=1, Pred=1, OK=True
17/269: Actual=1, Pred=1, OK=True
18/269: Actual=2, Pred=1, OK=False
19/269: Actual=2, Pred=1, OK=False
20/269: Actual=1, Pred=1, OK=True
21/269: Actual=1, Pred=1, OK=True
22/269: Actual=2, Pred=1, OK=False
23/269: Actual=1, Pred=1, OK=True
24/269: Actual=1, Pred=1, OK=True
25/269: Actual=1, Pred=1, OK=True
26/269: Actual=2, Pred=1, OK=False
27/269: Actual=1, Pred=1, OK=True
28/269: Actual=1, Pred=1, OK=True
29/269: Actual=1, Pred=1, OK=True
30/269: Actual=1, Pred=1, OK=True
31/269: Actual=1, Pred=1, OK=True
32/269: Actual=1, Pred=1, OK=True
33/269: Actual=1, Pred=1, OK=True
34/269: Actual=1, Pred=1, OK=True
35/269: Actual=2, Pred=1, OK=False
36/269: Actual=1, Pred=1, OK=True
37/269: Actual=1, Pred=1, OK=True
38/269: Actual=1, Pred=1, OK=True
39/269: Actual=2, Pred=1, OK=False
40/269: Actual=1, Pred=1, OK=True
41/269: Actual=1, Pred=1, OK=True
42/269: Actual=1, Pred=1, OK=True
43/269: Actual=2, Pred=1, OK=False
44/269: Actual=1, Pred=1, OK=True
45/269: Actual=1, Pred=1, OK=True
46/269: Actual=1, Pred=1, OK=True
47/269: Actual=1, Pred=1, OK=True
48/269: Actual=1, Pred=1, OK=True
49/269: Actual=1, Pred=1, OK=True
50/269: Actual=2, Pred=1, OK=False
51/269: Actual=1, Pred=1, OK=True
52/269: Actual=2, Pred=1, OK=False
53/269: Actual=1, Pred=1, OK=True
54/269: Actual=1, Pred=1, OK=True
55/269: Actual=1, Pred=1, OK=True
56/269: Actual=1, Pred=1, OK=True
57/269: Actual=2, Pred=1, OK=False
58/269: Actual=2, Pred=1, OK=False
59/269: Actual=1, Pred=1, OK=True
60/269: Actual=1, Pred=1, OK=True
61/269: Actual=1, Pred=1, OK=True
62/269: Actual=1, Pred=1, OK=True
63/269: Actual=1, Pred=1, OK=True
64/269: Actual=1, Pred=1, OK=True
65/269: Actual=1, Pred=1, OK=True
66/269: Actual=1, Pred=1, OK=True
67/269: Actual=1, Pred=1, OK=True
68/269: Actual=1, Pred=1, OK=True
69/269: Actual=2, Pred=1, OK=False
70/269: Actual=1, Pred=1, OK=True
